
Analysis Description
--------------------
GARD : Genetic Algorithms for Recombination Detection. Implements a
heuristic approach to screening alignments of sequences for
recombination, by using the CHC genetic algorithm to search for
phylogenetic incongruence among different partitions of the data. The
number of partitions is determined using a step-up procedure, while the
placement of breakpoints is searched for with the GA. The best fitting
model (based on c-AIC) is returned; and additional post-hoc tests run to
distinguish topological incongruence from rate-variation. v0.2 adds and
spooling results to JSON after each breakpoint search conclusion

- __Requirements__: A sequence alignment.

- __Citation__: **Automated Phylogenetic Detection of Recombination Using a Genetic
Algorithm**, _Mol Biol Evol 23(10), 1891–1901

- __Written by__: Sergei L Kosakovsky Pond

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 0.2

type: nucleotide
rv: GDD
>Maximum number of breakpoints to consider (permissible range = [1,100000], default value = 10000, integer): max-breakpoints: 10000
>How many site rate classes to use (permissible range = [2,10], default value = 4, integer): rate-classes: 4
mode: Faster
>Loaded a nucleotide multiple sequence alignment with **16** sequences, **1221** sites (470 of which are variable) from `/Users/alex/Documents/AOC/results/BDNF-64/BDNF-64.RD.SA.codons.cln.fa.cluster.fasta`
>Minimum size of a partition is set to be 29 sites


### Fitting the baseline (single-partition; no breakpoints) model
* Log(L) = -6664.09, AIC-c = 13419.55 (44 estimated parameters)

### Performing an exhaustive single breakpoint analysis
[2K
[GARD] Breakpoint          1 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          2 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          3 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          4 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          5 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          6 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          7 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          8 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          9 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         10 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         11 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         12 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         13 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         14 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         15 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         16 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         17 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         18 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         19 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         20 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         21 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         22 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         23 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         24 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         25 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         26 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         27 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         28 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         29 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         30 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         31 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         32 of 469. Best cAIC =   13415.6999 [delta =       3.8475] with breakpoint at site         32[2K
[GARD] Breakpoint         33 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         34 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         35 of 469. Best cAIC =   13406.8845 [delta =      12.6628] with breakpoint at site         34[2K
[GARD] Breakpoint         36 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         37 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         38 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         39 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         40 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         41 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         42 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         43 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         44 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         45 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         46 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         47 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         48 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         49 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         50 of 469. Best cAIC =   13318.6347 [delta =     100.9127] with breakpoint at site        153[2K
[GARD] Breakpoint         51 of 469. Best cAIC =   13317.5932 [delta =     101.9542] with breakpoint at site        154[2K
[GARD] Breakpoint         52 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         53 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         54 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         55 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         56 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         57 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         58 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         59 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         60 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         61 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         62 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         63 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         64 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         65 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         66 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         67 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         68 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         69 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint        318 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        319 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        320 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        321 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        322 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        323 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        324 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        325 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        326 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        327 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        328 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        329 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        330 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        331 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        332 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        333 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        334 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        335 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        336 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        337 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        338 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        339 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        340 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        341 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        342 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        343 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        344 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        345 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        346 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        347 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        348 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        349 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        350 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        351 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        352 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        353 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        354 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        355 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        356 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        357 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        358 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        359 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        360 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        361 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        362 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        363 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        364 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        365 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        366 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        367 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        368 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        369 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        370 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        371 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        372 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        373 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        374 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        375 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        376 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        377 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        378 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        379 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        380 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        381 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        382 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        383 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        384 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        385 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        386 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        387 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        388 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        389 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        390 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        391 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        392 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        393 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        394 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        395 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        396 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        397 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        398 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        399 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        400 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        401 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        402 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        403 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        404 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        405 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        406 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        407 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        408 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        409 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        410 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        411 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        412 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        413 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        414 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        415 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        416 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        417 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        418 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        419 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        420 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        421 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        422 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        423 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        424 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        425 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        426 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        427 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        428 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        429 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        430 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        431 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        432 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        433 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        434 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        435 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        436 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        437 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        438 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        439 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        440 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        441 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        442 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        443 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        444 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        445 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        446 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        447 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        448 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        449 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        450 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        451 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        452 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        453 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        454 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        455 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        456 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        457 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        458 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        459 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        460 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        461 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        462 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        463 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        464 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        465 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        466 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        467 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        468 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        469 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
                                                                                                                       [2K
Done with single breakpoint analysis.
   Best single break point location: 415
   c-AIC  = 12162.50618793543

### Performing multi breakpoint analysis using a genetic algorithm
[2K
[GARD]   2 breakpoints [ generation      1, total models      488,    0% converged, 11.90/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      2, total models      513,    3% converged, 11.40/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      3, total models      536,    6% converged, 10.94/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      4, total models      551,    9% converged, 10.80/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      5, total models      569,   12% converged, 10.54/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      6, total models      584,   16% converged, 10.43/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      7, total models      628,   19% converged,  9.97/sec]. Min (c-AIC) =   12129.9530 [ delta =    32.55], breakpoints at 359, 415[2K
[GARD]   2 breakpoints [ generation      8, total models      655,    0% converged,  9.63/sec]. Min (c-AIC) =   12123.6891 [ delta =    38.82], breakpoints at 325, 415[2K
[GARD]   2 breakpoints [ generation      9, total models      698,    0% converged,  9.31/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     10, total models      728,    3% converged,  9.22/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     11, total models      753,    6% converged,  9.07/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     12, total models      796,    9% converged,  8.94/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
[GARD]   2 breakpoints [ generation     13, total models      820,   12% converged,  8.82/sec]. Min (c-AIC) =   12119.4105 [ delta =    43.10], breakpoints at 368, 415[2K
